Cognitive Abilities,Abilities that influence the acquisition and application of knowledge in problem solving
Category Flexibility,The ability to generate or use different sets of rules for combining or grouping things in different ways.
Deductive Reasoning,The ability to apply general rules to specific problems to produce answers that make sense.
Flexibility of Closure,"The ability to identify or detect a known pattern (a figure, object, word, or sound) that is hidden in other distracting material."
Fluency of Ideas,"The ability to come up with a number of ideas about a topic (the number of ideas is important, not their quality, correctness, or creativity)."
Inductive Reasoning,The ability to combine pieces of information to form general rules or conclusions (includes finding a relationship among seemingly unrelated events).
Information Ordering,"The ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., patterns of numbers, letters, words, pictures, mathematical operations)."
Mathematical Reasoning,The ability to choose the right mathematical methods or formulas to solve a problem.
Memorization,"The ability to remember information such as words, numbers, pictures, and procedures."
Number Facility,"The ability to add, subtract, multiply, or divide quickly and correctly."
Oral Comprehension,The ability to listen to and understand information and ideas presented through spoken words and sentences.
Oral Expression,The ability to communicate information and ideas in speaking so others will understand.
Originality,"The ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem."
Perceptual Speed,"The ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns. The things to be compared may be presented at the same time or one after the other. This ability also includes comparing a presented object with a remembered object."
Problem Sensitivity,"The ability to tell when something is wrong or is likely to go wrong. It does not involve solving the problem, only recognizing there is a problem."
Selective Attention,The ability to concentrate on a task over a period of time without being distracted.
Spatial Orientation,The ability to know your location in relation to the environment or to know where other objects are in relation to you.
Speed of Closure,"The ability to quickly make sense of, combine, and organize information into meaningful patterns."
Time Sharing,"The ability to shift back and forth between two or more activities or sources of information (such as speech, sounds, touch, or other sources)."
Visualization,The ability to imagine how something will look after it is moved around or when its parts are moved or rearranged.
Written Comprehension,The ability to read and understand information and ideas presented in writing.
Written Expression,The ability to communicate information and ideas in writing so others will understand.
